Link;Members;Daily Joined;Daily Left;Weekly Joined;Weekly Left;Monthly Joined;Monthly Left
http://instagram.com/cliniquerussia;130802;60;0;3207;0;8104;0
http://instagram.com/clarinsrussia;113566;247;0;4553;0;9904;0
http://instagram.com/kiehlsrussia;73502;40;0;114;18;1652;45
http://instagram.com/erborian_russia;39714;18;0;482;0;7735;275
http://instagram.com/loccitane_ru;35982;4;0;1287;0;4390;0
http://instagram.com/originsrussia;23310;0;4;7;107;1806;242
http://instagram.com/medela.ru;28959;123;0;524;39;727;388
http://instagram.com/ardo.medical;9992;133;0;621;4;1241;32
http://instagram.com/pigeon_moms;6009;0;14;0;61;89;200
http://instagram.com/bwtrussia;6700;0;2;0;36;13;175
http://instagram.com/barrier_ru;2519;0;1;8;11;26;46
http://instagram.com/aquaphor.russia;1100;4;0;7;13;40;45
http://instagram.com/brita.russia;398;1;0;3;1;9;8
http://instagram.com/masterlandcy;1266;0;2;24;6;53;30
http://instagram.com/kotanyirussia;857;10;0;30;3;" ";" "
http://instagram.com/ecomilk;12557;6;0;469;57;900;507
http://instagram.com/valiorussia;3756;0;1;0;10;38;84
http://instagram.com/savushkin_product;2467;5;0;56;4;272;7
http://instagram.com/kerastase_official;583095;871;0;3365;0;13625;0
http://instagram.com/redken;520370;260;0;4964;0;20431;0
http://instagram.com/matrix;240398;228;0;1631;0;7939;0
http://instagram.com/schwarzkopfproru;77925;19650;0;19843;0;21190;215
http://instagram.com/olaplexrussia;55248;0;5;102;17;903;21
http://instagram.com/miratorg.ru;26019;0;1;84;1;352;3
http://instagram.com/petelinka_recipes;6518;0;1;54;2;99;56
http://instagram.com/blagoyar_ru;1579;0;7;2;35;11;67
http://instagram.com/nlstor_e;75038;105;0;708;0;2783;0
http://instagram.com/avonrussia;59118;53;0;366;0;2512;0
http://instagram.com/drkorner;19217;0;7;39;28;741;35
http://instagram.com/nestlefitnessrussia;6669;27;0;85;7;139;86
http://instagram.com/ostinkids;66487;109;0;1023;0;3112;0
http://instagram.com/vodny2_ru;2059;1;0;10;5;22;30
http://instagram.com/ostin_official;274262;0;9;1082;77;12516;98
http://instagram.com/_gloriajeans_;216394;50;0;620;0;3191;36
http://instagram.com/sela_ru;45141;52;0;360;0;1153;0
http://instagram.com/sektaschool;108599;0;23;0;297;552;632
http://instagram.com/worldclassclubs;57097;30;0;108;29;405;56
http://instagram.com/thebasefitness;7844;0;0;57;0;179;17
http://instagram.com/larocheposay_russia;91130;81;0;810;0;6891;2
http://instagram.com/vichyrussia;36606;135;0;2042;0;4431;0
http://instagram.com/biodermarussia;13093;26;0;200;0;685;2
http://instagram.com/uriage_russia;11904;1;0;337;0;1187;0
http://instagram.com/eauthermaleavenerussia;10781;17;0;220;0;662;24
http://instagram.com/adidasrussia;260653;663;0;7353;0;18794;0
http://instagram.com/reebok_russia;249199;661;0;4856;0;10526;9
http://instagram.com/sportmaster_official;107243;152;0;1024;0;4281;0
http://instagram.com/vans_russia;24034;5;0;203;5;826;12
http://instagram.com/skechersrussia;15218;7;0;29;23;51;119
http://instagram.com/keddoshoes;13391;60;0;89;60;181;298
http://instagram.com/catfootwearrussia;1224;4;0;18;5;114;15
http://instagram.com/bmwru;165997;180;0;1647;0;5047;0
http://instagram.com/mbrussia;148232;122;0;1283;0;5780;0
http://instagram.com/audirussia;121746;1175;0;6516;0;11442;0
http://instagram.com/lexusrussia;101450;130;0;805;0;3522;0
http://instagram.com/landroverru;61260;33;0;546;0;2153;0
http://instagram.com/infiniti_russia;51730;149;0;659;0;2025;0
http://instagram.com/jaguarrussia;40170;22;0;252;0;2479;0
http://instagram.com/volkswagenrus;33556;52;0;708;0;2488;0
http://instagram.com/volvocarsrus;27239;9;0;113;0;784;0
http://instagram.com/hyundairussia;19191;28;0;305;0;1091;0
http://instagram.com/renaultru;14399;0;5;47;5;183;11
http://instagram.com/redmond_multicookers;78936;1308;0;2138;0;4800;1225
http://instagram.com/bork_com;45349;231;0;726;0;3701;0
http://instagram.com/philipsrussia;42681;35;0;576;0;3635;0
http://instagram.com/bekorussia;37109;0;5;0;134;0;567
http://instagram.com/midea_rus;20582;4;0;261;7;865;44
http://instagram.com/smegrussia;15650;14;0;141;2;726;27
http://instagram.com/boschhomeru;10691;61;0;362;0;856;0
http://instagram.com/siemenshomeru;2575;17;0;135;0;180;22
http://instagram.com/neffrussia;2331;4;0;19;6;101;28
http://instagram.com/glenmorangie_ru;6794;0;2;4;22;21;72
http://instagram.com/womanacademia;16315;0;6;31;28;156;62
http://instagram.com/rittersportru;26912;28;0;295;40;649;70
http://instagram.com/cornettoru;1316;2;0;2;6;4;29
http://instagram.com/herbalife_rsm;57216;37;0;865;0;3284;0
