Link;Members;Daily Joined;Daily Left;Weekly Joined;Weekly Left;Monthly Joined;Monthly Left
http://vk.com/huaweimobilerus;593419;605;239;4170;1721;18494;8172
http://vk.com/huaweirussiaofficial;4707;2;0;13;7;52;61
http://facebook.com/ericsson;" ";" ";" ";" ";" ";" ";" "
http://vk.com/rostelecom;75092;247;33;1564;289;7861;1223
http://vk.com/rostelecom_tv;12558;48;6;95;56;1281;227
http://facebook.com/CliniqueRussia;11047398;2360;0;15684;0;49299;0
http://facebook.com/loccitane.russia;5653721;1117;0;5772;0;22045;0
http://facebook.com/KiehlsRussia;2653085;1847;0;16877;0;44442;0
http://facebook.com/ClarinsRussia;2424996;507;0;2147;0;8733;0
http://instagram.com/cliniquerussia;130802;60;0;3207;0;8104;0
http://instagram.com/clarinsrussia;113566;247;0;4553;0;9904;0
http://facebook.com/ErborianRussia;76665;11;0;46;1;140;52
http://instagram.com/kiehlsrussia;73502;40;0;114;18;1652;45
http://vk.com/loccitane;65395;5;8;136;88;512;427
http://instagram.com/erborian_russia;39714;18;0;482;0;7735;275
http://instagram.com/loccitane_ru;35982;4;0;1287;0;4390;0
http://vk.com/cliniquerussia;30282;15;3;148;48;528;239
http://vk.com/clarins;28002;8;9;56;63;380;276
http://instagram.com/originsrussia;23310;0;4;7;107;1806;242
http://vk.com/kiehls_russia;8460;5;1;26;19;128;102
http://vk.com/erborian;3755;4;2;11;14;50;102
http://vk.com/philipsavent;41964;18;9;185;75;864;333
http://vk.com/medela_russia;41177;56;15;184;79;971;418
http://instagram.com/medela.ru;28959;123;0;524;39;727;388
http://vk.com/pigeonjapan;16419;1;0;9;14;109;76
http://facebook.com/medela.ru;14349;1;0;1;4;3;29
http://facebook.com/PigeonJapan;13551;0;0;0;7;5;29
http://ok.ru/medela;12957;0;1;2;4;10;26
http://instagram.com/ardo.medical;9992;133;0;621;4;1241;32
http://facebook.com/ArdoRussia;9613;0;1;0;7;6;14
http://vk.com/ardorussia;7570;0;2;1;6;3;14
http://instagram.com/pigeon_moms;6009;0;14;0;61;89;200
http://vk.com/club154042400;1035;0;1;0;3;9;16
http://facebook.com/RamiliBaby;356;0;0;0;1;2;2
http://vk.com/pomidorka;" ";" ";" ";" ";" ";" ";" "
http://facebook.com/barrierrussia;41949;1;0;1;19;6;66
http://vk.com/barrier_ru;24943;3;3;9;19;57;97
http://vk.com/brita.russia;19431;0;2;0;28;3;107
http://ok.ru/barrier;12889;0;0;0;4;4;17
http://vk.com/bwtrussia;10648;0;2;4;20;15;53
http://facebook.com/bwtrussia;8930;0;1;0;6;3;20
http://facebook.com/BRITA.Russia;7070;0;0;0;4;1;13
http://instagram.com/bwtrussia;6700;0;2;0;36;13;175
http://instagram.com/barrier_ru;2519;0;1;8;11;26;46
http://vk.com/aquaphor;1360;2;1;10;1;59;12
http://instagram.com/aquaphor.russia;1100;4;0;7;13;40;45
