Заголовок,"Количество коментариев","Количество лайков","Медиа тип","Пост создан",Cсылка
"Я МНОГОКРАТНО ГОВОРИЛ,что ситуация в живой природе кардинально отличается от позиции : ДИКИМ ЗВЕРЯМ МЕСТО ТОЛЬКО В ДИКОЙ ПРИРОДЕ!!!
https://www.rbc.ru/society/30/10/2018/5bd809329a79479819fd85b9?from=main
#зоозащита#peta #вита #законнуженсейчас #закон_нужен_сейчас #зациркбезживотных #цирк#зоопарк #живаяприрода #нужнапомощь #заблуждение #надоподумать #запашный @wwf @wwfrussia  #wwf#фондзащитыживотных",70,6119,image,"2018-10-30 12:53:25",https://www.instagram.com/p/BpjYyVuBPr1
"Первый раз в жизни увидели телефон ☝️🤦‍♂️🤣
#петрпервый #иосифсталин #запашный #ягудин #историческаявстреча #славабогутыпришел #стс #главкино @alexei.yagudin #маскарад #быловесело",79,9957,image,"2018-10-30 11:39:59",https://www.instagram.com/p/BpjQYljhqjo
"Вот в чем я не прав!?🤷‍♂️
Или добавляйте по этой теме свои мысли!!!🤨
#любитнашнарод #пресса#шоубизнес #рассуждения#наночьглядя #надоподумать #запашный #эдгардзапашный #россия #нашараша #ялюблюроссию
@artur_bagdasarov_official @ritamamun @kudryavtseva_y @aloyan_mikhail_ @timchenkoshow @shnurovs",656,11663,sidecar,"2018-10-30 01:26:48",https://www.instagram.com/p/BpiKNZABOGX
"Что в этом взгляде?🤨
#эдгардзапашный #запашный #садко#циркбратьевзапашных#очемговорятмужчины #цирк#circus #zapashnybrotherscircus #zapashny фото Леночки @elenablednykh",273,9627,image,"2018-10-29 20:50:06",https://www.instagram.com/p/Bphqi1ohJW2
"Амбиции😉☝️👏
@danielzapashny 
@yaroslavna_viktorovna 
#минидиректор#малышуня#даниэльзапашный #циркчинизелли #директор#мойсынулька #люблютебя #любовь #ложа#vip#circus#circuschildren #circuslife #saintpetersburg #piter #санктпетербург #питер#детивцирке",54,9237,image,"2018-10-29 11:45:25",https://www.instagram.com/p/BpgsNcWhzl0
"28 октября в селе Успенское произошло нападение хищника на ребёнка!😳
Львица смогла укусить ребёнка за голову! На данный момент жизни ребёнка ни что не угрожает!🙏
Считаю,что вина полностью лежит прежде всего на владельце и директоре этого шапито(«Рога и Копыта»),на самом дрессировщике и взрослом,который сопровождал этого ребёнка и отпустил его от себя находясь на первом ряду!!!😡🔥😡
В очередной раз призываю власти рассмотреть закон о лицензировании частных цирков и зооцирков! Контроль и выдачу лицензий возложить на компанию Росгосцирк!!!
#нападениехищника#чп#шапито#частныйцирк #рогаикопыта #львица#ребенок#хищник #трагедия#чп#дежурнаячасть#наказатьвиновных",444,8975,video,"2018-10-28 22:14:22",https://www.instagram.com/p/BpfOmgdBJt3
"Это Питсбург Канада наши дни☝️
Очередная акция зоозащитников,но я вот поймал себя на какой мысли: почему именно ЭТОТ маленький ресторан??? Почему они не пикетируют крупных игроков,таких как McDonalds,KFC или SUBWAY !?!?
Да потому,что СТРАШНО,страшно получить ответку! Ведь выше перечисленные компании затаскают их по судам и выиграют многомиллионные иски,а затем купят их всех с потрохами!🤨
А деятельность ВСЕ ТАКИ свою показывать НАДО☝️,иначе лишат финансирования!!!🤦‍♂️😳🤦‍♂️
Мое мнение такое: хочешь победить зло - бейся с самым сильным!,но видимо НЕТ ЖЕЛАНИЯ и ЦЕЛИ СОВЕРШЕННО ДРУГИЕ!!!🤷‍♂️✊
#зоозащита #зоошиза#мкдональдс #кфс #kfc #mcdonalds #ресторан #пикет#веган #веганство #вита#peta#надоподумать #хужедуракатолькодураксинициативой",110,6389,video,"2018-10-28 17:35:48",https://www.instagram.com/p/Bpeua9Fh8mp
"PETA(на английском)одна из самых мощных зоозащитных организаций в мире!
Примечательно,что вчера в «Южном парке» сами американцы высмеивали их «любовь к животным»!🤣🤦‍♂️🤷‍♂️👍
#южныйпарк #southpark #peta #vita #пета#вита#зоошизоиды#зоозащита #кактотак#юмор#сарказм #надоподумать #законнуженсейчас #зациркбезживотных #за_цирк_без_животных #бред",39,6092,sidecar,"2018-10-28 12:46:57",https://www.instagram.com/p/BpeOdQUhK3v
"Много лет назад на одном из Международных цирковых фестивалей, при исполнении примерно такого же трюка, стрела угодила в голову артисту!(он остался жив)!☝️😳
#цирк#арбалеты #стрельба#супертрюк#опасно#сложно #circus #danger #dangerous #circusartist #arbalete #usa #америка",103,7795,video,"2018-10-28 00:58:20",https://www.instagram.com/p/Bpc80tghoor
"А сегодня я хочу рассказать вам о Талантливой и Трудолюбивой Виолетте Александровой-Серж @violettaserg 👏
Артистка в жанре джигитовки и дрессуры.Представитель 5-го поколения цирковой династии Александровых-Серж,которая насчитывает больше 160 лет.
Отец - выдающийся  потомственный артист, мама-мастер спорта по спортивной гимнастике в 17 лет пришедшая в цирк✨
Виолетта с 18 лет руководит конно-акробатическим ансамблем после внезапной смерти своего отца.Память о папе и поддержка мамы помогала двигаться вперёд,но она всегда чувствует ,что отец рядом и это придаёт ей больше сил на новые  достижения.
Традиционно для своей семьи творческую карьеру на лошади в манеже начала с 5 лет.В 10 лет уже исполняла взрослые трюки в жанре  джигитовка. 
В своем номере выполняет в основном сложные мужские трюки с женской грациозностью😉🔥👍
Также занимается дрессурой лошадей,пони и собак.
Закончила СПБГУКИ.
Не обошлось без травм: перелом,сотрясение,надрывы связок, 2 операции по разрыву коленной связки(вторая уже была с наращиваем кости)🤨Но все это не смогло остановить основное желание: побыстрее вернуться к любимой работе😍
С Виолеттой в её дружном коллективе почти 10 лет работает ее муж(в прошлом спорт.гимнаст), с которым они вместе идут по творческому  пути,каждый день, работая над собой.
Она гордится,что в её номере работают артисты,которые также как и она любят лошадей, цирковое искусство и полностью отдаются своему делу✊
У артистки есть 2 прекрасных сына,которым 6 и 2 года.Старший - уже помощник и с интересом репетирует трюки на лошадях. Младший-познает первые азы этой профессии, но уже тоже сильно любит лошадей😎
Лошади для Виолетты-  родные дети.Она старается их обеспечить всем необходимым: лечит,составляет рацион кормления,контролирует и сама ухаживает за ними. А так же постоянно  делится в своих соц.сетях ,как живут её цирковые лошади☝️
Основное желание у нашей героини: чтобы животные и родные были здоровы.Виолетта мечтает,чтобы Российский цирк всегда процветал и сыновья достойно продолжали Славную Династию Александровых-Серж☺️👏👏👏
#талантливыеитрудолюбивые#цирк#лучшаяизлучших #circus #джигиты#лошади#джигитовка#росгосцирк#horses #труд",63,6944,sidecar,"2018-10-27 16:36:45",https://www.instagram.com/p/BpcD9goBvdR
"Сегодня в ГУМе мы с братом примерили костюм Paul Smith «A Suit to Travel in» с изображением Большого Московского государственного цирка на подкладке👍
«A Suit to Travel in». Эта модель придумана специально для активных людей английским дизайнером🇬🇧 Костюм сшит из специальной шерсти, которая не мнется💪🥇👍
Всем покупателям специальный подарок от Большого Московского Цирка👏👏👏
#PaulSmithXBosco #Bosco #BoscoDiCiliegi#братьязапашные #костюм #мужскойкостюм #цирк#бмгц #большоймосковскийцирк #гум#бутик#англия#великобритания #england #greatbritain #zapashnybrotherscircus #circus #nicesuit",158,10253,sidecar,"2018-10-27 14:39:30",https://www.instagram.com/p/Bpb2iubhZn2
"Поздравляю победителей👏👏👏
#конкурс#победители#подарки#сша#федоремельяненко #емельяненко #fedorteam #usa#запашный #эдгардзапашный #лучшеедлялучших",29,4979,video,"2018-10-27 00:53:58",https://www.instagram.com/p/BpaX7NzB2Fr
"Завтра утром на «Звезде»!👏☝️👏
#легендыциркасэдгардомзапашным #легендыцирка #эдгардзапашный #евгенийшевцов #запашный #шевцов #твзвезда #звезда#будетинтересно#режиссер #режиссура #лучшеедлялучших #смотрим#суббота",74,8060,video,"2018-10-26 15:20:47",https://www.instagram.com/p/BpZWJTEhOxo
